자치구,판매소 유형,2021주유소 현황,주유기수,2021등록된자동차,주유기 당 자동차
종로구,주유소,9,44,50348,1144.27
중구,주유소,10,49,61158,1248.12
용산구,주유소,13,63,79740,1265.71
성동구,주유소,17,83,107564,1295.95
광진구,주유소,15,73,98371,1347.55
동대문구,주유소,19,93,98466,1058.77
중랑구,주유소,14,68,114375,1681.99
성북구,주유소,24,117,121073,1034.81
강북구,주유소,13,63,75337,1195.83
도봉구,주유소,18,88,95631,1086.72
노원구,주유소,15,73,152285,2086.1
은평구,주유소,17,83,133175,1604.52
서대문구,주유소,15,73,89199,1221.9
마포구,주유소,12,58,121364,2092.48
양천구,주유소,25,122,151338,1240.48
강서구,주유소,32,156,205058,1314.47
구로구,주유소,21,102,145874,1430.14
금천구,주유소,12,58,90169,1554.64
영등포구,주유소,27,132,146095,1106.78
동작구,주유소,10,49,106229,2167.94
관악구,주유소,15,73,118082,1617.56
서초구,주유소,33,161,177133,1100.2
강남구,주유소,35,171,239643,1401.42
송파구,주유소,33,161,246858,1533.28
강동구,주유소,14,68,152178,2237.91
